index,date,views
297,2020-10-23,23588
298,2020-10-24,23535
299,2020-10-25,23457
300,2020-10-26,23457
301,2020-10-27,23366
302,2020-10-28,23245
303,2020-10-29,23129
304,2020-10-30,23169
305,2020-10-31,23025
306,2020-11-01,22899
307,2020-11-02,22755
308,2020-11-03,22749
309,2020-11-04,22800
310,2020-11-05,22840
311,2020-11-06,22837
312,2020-11-07,22726
313,2020-11-08,22652
314,2020-11-09,22701
315,2020-11-10,22754
316,2020-11-11,22667
317,2020-11-12,22711
318,2020-11-13,22627
319,2020-11-14,22632
320,2020-11-15,22546
321,2020-11-16,22428
322,2020-11-17,22322
323,2020-11-18,22336
324,2020-11-19,22355
325,2020-11-20,22364
326,2020-11-21,22287
327,2020-11-22,22331
328,2020-11-23,22346
329,2020-11-24,22201
330,2020-11-25,22278
331,2020-11-26,22349
332,2020-11-27,22387
333,2020-11-28,22293
334,2020-11-29,22371
335,2020-11-30,22328
336,2020-12-01,22372
337,2020-12-02,22405
338,2020-12-03,22465
339,2020-12-04,22475
340,2020-12-05,22535
341,2020-12-06,22573
342,2020-12-07,22434
343,2020-12-08,22347
344,2020-12-09,22397
345,2020-12-10,22388
346,2020-12-11,22422
347,2020-12-12,22380
348,2020-12-13,22259
349,2020-12-14,22126
350,2020-12-15,22047
351,2020-12-16,21947
352,2020-12-17,21957
353,2020-12-18,21953
354,2020-12-19,21918
355,2020-12-20,21995
356,2020-12-21,21940
357,2020-12-22,22001
358,2020-12-23,21857
359,2020-12-24,21790
360,2020-12-25,21795
361,2020-12-26,21795
362,2020-12-27,21837
363,2020-12-28,21742
364,2020-12-29,21779
365,2020-12-30,21791
366,2020-12-31,21856
367,2021-01-01,21766
368,2021-01-02,21653
369,2021-01-03,21622
370,2021-01-04,21556
371,2021-01-05,21520
372,2021-01-06,21418
373,2021-01-07,21422
374,2021-01-08,21277
375,2021-01-09,21189
376,2021-01-10,21115
377,2021-01-11,20999
378,2021-01-12,20945
379,2021-01-13,20981
380,2021-01-14,21038
381,2021-01-15,20898
382,2021-01-16,20833
383,2021-01-17,20765
384,2021-01-18,20626
385,2021-01-19,20652
386,2021-01-20,20604
387,2021-01-21,20682
388,2021-01-22,20610
389,2021-01-23,20530
390,2021-01-24,20561
391,2021-01-25,20421
392,2021-01-26,20325
393,2021-01-27,20284
394,2021-01-28,20297
395,2021-01-29,20221
396,2021-01-30,20159
397,2021-01-31,20196
398,2021-02-01,20082
399,2021-02-02,20027
400,2021-02-03,20084
401,2021-02-04,20083
402,2021-02-05,19956
403,2021-02-06,19926
404,2021-02-07,20000
405,2021-02-08,19897
406,2021-02-09,19763
407,2021-02-10,19792
408,2021-02-11,19681
409,2021-02-12,19737
410,2021-02-13,19771
411,2021-02-14,19657
412,2021-02-15,19724
413,2021-02-16,19588
414,2021-02-17,19580
415,2021-02-18,19584
416,2021-02-19,19605
417,2021-02-20,19666
418,2021-02-21,19661
419,2021-02-22,19537
420,2021-02-23,19592
421,2021-02-24,19588
422,2021-02-25,19452
423,2021-02-26,19384
424,2021-02-27,19464
425,2021-02-28,19487
426,2021-03-01,19374
427,2021-03-02,19293
428,2021-03-03,19341
429,2021-03-04,19270
430,2021-03-05,19205
431,2021-03-06,19073
432,2021-03-07,19020
433,2021-03-08,19045
434,2021-03-09,19001
435,2021-03-10,19067
436,2021-03-11,19070
437,2021-03-12,18992
438,2021-03-13,18999
439,2021-03-14,18950
440,2021-03-15,18917
441,2021-03-16,18940
442,2021-03-17,18840
443,2021-03-18,18917
444,2021-03-19,18850
445,2021-03-20,18765
446,2021-03-21,18653
447,2021-03-22,18731
448,2021-03-23,18679
449,2021-03-24,18538
450,2021-03-25,18392
451,2021-03-26,18438
452,2021-03-27,18468
453,2021-03-28,18473
454,2021-03-29,18385
455,2021-03-30,18399
456,2021-03-31,18299
457,2021-04-01,18315
458,2021-04-02,18389
459,2021-04-03,18391
460,2021-04-04,18285
461,2021-04-05,18333
462,2021-04-06,18274
463,2021-04-07,18271
464,2021-04-08,18193
465,2021-04-09,18151
466,2021-04-10,18085
467,2021-04-11,18018
468,2021-04-12,18020
469,2021-04-13,17953
470,2021-04-14,17989
471,2021-04-15,17928
472,2021-04-16,17851
473,2021-04-17,17894
474,2021-04-18,17844
475,2021-04-19,17914
476,2021-04-20,17786
477,2021-04-21,17690
478,2021-04-22,17739
479,2021-04-23,17814
480,2021-04-24,17729
481,2021-04-25,17690
482,2021-04-26,17760
483,2021-04-27,17818
484,2021-04-28,17739
485,2021-04-29,17682
486,2021-04-30,17624
487,2021-05-01,17532
488,2021-05-02,17607
489,2021-05-03,17652
490,2021-05-04,17645
491,2021-05-05,17668
492,2021-05-06,17562
493,2021-05-07,17597
494,2021-05-08,17544
495,2021-05-09,17584
496,2021-05-10,17437
497,2021-05-11,17428
498,2021-05-12,17427
499,2021-05-13,17449
500,2021-05-14,17307
501,2021-05-15,17337
502,2021-05-16,17303
503,2021-05-17,17260
504,2021-05-18,17202
505,2021-05-19,17160
506,2021-05-20,17081
507,2021-05-21,17077
508,2021-05-22,17075
509,2021-05-23,17077
510,2021-05-24,17106
511,2021-05-25,17008
512,2021-05-26,17021
513,2021-05-27,16946
514,2021-05-28,16951
515,2021-05-29,16928
516,2021-05-30,16842
517,2021-05-31,16848
518,2021-06-01,16750
519,2021-06-02,16786
520,2021-06-03,16785
521,2021-06-04,16787
522,2021-06-05,16718
523,2021-06-06,16865
524,2021-06-07,16839
525,2021-06-08,16768
526,2021-06-09,16681
527,2021-06-10,16655
528,2021-06-11,16652
529,2021-06-12,16818
530,2021-06-13,16735
531,2021-06-14,16770
532,2021-06-15,16670
533,2021-06-16,16575
534,2021-06-17,16580
535,2021-06-18,16523
536,2021-06-19,16542
537,2021-06-20,16547
538,2021-06-21,16582
539,2021-06-22,16506
540,2021-06-23,16416
541,2021-06-24,16427
542,2021-06-25,16364
543,2021-06-26,16330
544,2021-06-27,16346
545,2021-06-28,16293
546,2021-06-29,16263
547,2021-06-30,16266
548,2021-07-01,16269
549,2021-07-02,16248
550,2021-07-03,16246
551,2021-07-04,16219
552,2021-07-05,16220
553,2021-07-06,16218
554,2021-07-07,16142
555,2021-07-08,16107
556,2021-07-09,16111
557,2021-07-10,16062
558,2021-07-11,16061
559,2021-07-12,15967
560,2021-07-13,16002
561,2021-07-14,15970
562,2021-07-15,15935
563,2021-07-16,15871
564,2021-07-17,15826
565,2021-07-18,16030
566,2021-07-19,15983
567,2021-07-20,15911
568,2021-07-21,15908
569,2021-07-22,16023
570,2021-07-23,16003
571,2021-07-24,15905
572,2021-07-25,15828
573,2021-07-26,15784
574,2021-07-27,15759
575,2021-07-28,15763
576,2021-07-29,15765
577,2021-07-30,15764
578,2021-07-31,15761
579,2021-08-01,15765
580,2021-08-02,15774
581,2021-08-03,15785
582,2021-08-04,15790
583,2021-08-05,15710
584,2021-08-06,15645
585,2021-08-07,15678
586,2021-08-08,15707
587,2021-08-09,15687
588,2021-08-10,15686
589,2021-08-11,15627
590,2021-08-12,15659
591,2021-08-13,15664
592,2021-08-14,15592
593,2021-08-15,15613
594,2021-08-16,15613
595,2021-08-17,15536
596,2021-08-18,15492
597,2021-08-19,15452
598,2021-08-20,15357
599,2021-08-21,15298
600,2021-08-22,15252
601,2021-08-23,15247
602,2021-08-24,15248
603,2021-08-25,15244
604,2021-08-26,15377
605,2021-08-27,15332
606,2021-08-28,15336
607,2021-08-29,15253
608,2021-08-30,15283
609,2021-08-31,15226
610,2021-09-01,15230
611,2021-09-02,15158
612,2021-09-03,15120
613,2021-09-04,15083
614,2021-09-05,15007
615,2021-09-06,15002
616,2021-09-07,14950
617,2021-09-08,14850
618,2021-09-09,14886
619,2021-09-10,14802
620,2021-09-11,14800
621,2021-09-12,14802
622,2021-09-13,14840
623,2021-09-14,14759
624,2021-09-15,14780
625,2021-09-16,14783
626,2021-09-17,14731
627,2021-09-18,14735
628,2021-09-19,14703
629,2021-09-20,14701
630,2021-09-21,14643
631,2021-09-22,14598
632,2021-09-23,14507
633,2021-09-24,14547
634,2021-09-25,14497
635,2021-09-26,14518
636,2021-09-27,14523
637,2021-09-28,14437
638,2021-09-29,14385
639,2021-09-30,14295
640,2021-10-01,14295
641,2021-10-02,14295
642,2021-10-03,14250
643,2021-10-04,14160
644,2021-10-05,14155
645,2021-10-06,14115
646,2021-10-07,14037
647,2021-10-08,14004
648,2021-10-09,14027
649,2021-10-10,14039
650,2021-10-11,14017
651,2021-10-12,14142
652,2021-10-13,14066
653,2021-10-14,14065
654,2021-10-15,14084
655,2021-10-16,14018
656,2021-10-17,13951
657,2021-10-18,13928
658,2021-10-19,13932
659,2021-10-20,13957
660,2021-10-21,13953
661,2021-10-22,13979
662,2021-10-23,13982
663,2021-10-24,13955
664,2021-10-25,14130
665,2021-10-26,14157
666,2021-10-27,14168
667,2021-10-28,14172
668,2021-10-29,14141
669,2021-10-30,14143
670,2021-10-31,14140
671,2021-11-01,14068
672,2021-11-02,13999
673,2021-11-03,14182
674,2021-11-04,14149
675,2021-11-05,14187
676,2021-11-06,14200
677,2021-11-07,14198
678,2021-11-08,14224
679,2021-11-09,14144
680,2021-11-10,14110
681,2021-11-11,14040
682,2021-11-12,14150
683,2021-11-13,14104
684,2021-11-14,14032
685,2021-11-15,14052
686,2021-11-16,14053
687,2021-11-17,14080
688,2021-11-18,13985
689,2021-11-19,13994
690,2021-11-20,13915
691,2021-11-21,13892
692,2021-11-22,13812
693,2021-11-23,13814
694,2021-11-24,13742
695,2021-11-25,13766
696,2021-11-26,13733
697,2021-11-27,13733
698,2021-11-28,13731
699,2021-11-29,13701
700,2021-11-30,13634
701,2021-12-01,13630
702,2021-12-02,13630
703,2021-12-03,13656
704,2021-12-04,13839
705,2021-12-05,13755
706,2021-12-06,13716
707,2021-12-07,13720
708,2021-12-08,13645
709,2021-12-09,13672
710,2021-12-10,13858
711,2021-12-11,13875
712,2021-12-12,13894
713,2021-12-13,13830
714,2021-12-14,13845
715,2021-12-15,13848
716,2021-12-16,13781
717,2021-12-17,13744
718,2021-12-18,13994
719,2021-12-19,14199
720,2021-12-20,14200
721,2021-12-21,14140
722,2021-12-22,14040
723,2021-12-23,14052
724,2021-12-24,14015
725,2021-12-25,13953
726,2021-12-26,13910
727,2021-12-27,13909
728,2021-12-28,13918
729,2021-12-29,14022
730,2021-12-30,13978
731,2021-12-31,14126
732,2022-01-01,14125
733,2022-01-02,14367
734,2022-01-03,14406
735,2022-01-04,14308
736,2022-01-05,14215
737,2022-01-06,14406
738,2022-01-07,14370
739,2022-01-08,14336
740,2022-01-09,14274
741,2022-01-10,14273
742,2022-01-11,14227
743,2022-01-12,14469
744,2022-01-13,14395
745,2022-01-14,14331
746,2022-01-15,14263
747,2022-01-16,14220
748,2022-01-17,14173
749,2022-01-18,14123
750,2022-01-19,14139
751,2022-01-20,14165
752,2022-01-21,14119
753,2022-01-22,14119
754,2022-01-23,14138
755,2022-01-24,14423
756,2022-01-25,14345
757,2022-01-26,14246
758,2022-01-27,14200
759,2022-01-28,14118
760,2022-01-29,14086
761,2022-01-30,14029
762,2022-01-31,14036
763,2022-02-01,14037
764,2022-02-02,14265
765,2022-02-03,14260
766,2022-02-04,14257
767,2022-02-05,14509
768,2022-02-06,14535
769,2022-02-07,14728
770,2022-02-08,14645
771,2022-02-09,14656
772,2022-02-10,14607
773,2022-02-11,14608
774,2022-02-12,14560
775,2022-02-13,14591
776,2022-02-14,14492
777,2022-02-15,14403
778,2022-02-16,14406
779,2022-02-17,14323
780,2022-02-18,14241
781,2022-02-19,14168
782,2022-02-20,14198
783,2022-02-21,14198
784,2022-02-22,14231
785,2022-02-23,14249
786,2022-02-24,14251
787,2022-02-25,14203
788,2022-02-26,14218
789,2022-02-27,14238
790,2022-02-28,14159
791,2022-03-01,14413
792,2022-03-02,14380
793,2022-03-03,14403
794,2022-03-04,14421
795,2022-03-05,14420
796,2022-03-06,14590
797,2022-03-07,14612
798,2022-03-08,14615
799,2022-03-09,14628
800,2022-03-10,14631
801,2022-03-11,14634
802,2022-03-12,14732
803,2022-03-13,14825
804,2022-03-14,14789
805,2022-03-15,14898
806,2022-03-16,14856
807,2022-03-17,14962
808,2022-03-18,14935
809,2022-03-19,15128
810,2022-03-20,15123
811,2022-03-21,15123
812,2022-03-22,15100
813,2022-03-23,15165
814,2022-03-24,15319
815,2022-03-25,15476
816,2022-03-26,15606
817,2022-03-27,15793
818,2022-03-28,15892
819,2022-03-29,16084
820,2022-03-30,16081
821,2022-03-31,16053
822,2022-04-01,16197
823,2022-04-02,16174
824,2022-04-03,16321
825,2022-04-04,16325
826,2022-04-05,16326
827,2022-04-06,16494
828,2022-04-07,16667
829,2022-04-08,16638
830,2022-04-09,16807
831,2022-04-10,16967
832,2022-04-11,16963
833,2022-04-12,16962
834,2022-04-13,16919
835,2022-04-14,16969
836,2022-04-15,17054
837,2022-04-16,17018
838,2022-04-17,17134
839,2022-04-18,17275
840,2022-04-19,17275
841,2022-04-20,17432
842,2022-04-21,17603
843,2022-04-22,17768
844,2022-04-23,17751
845,2022-04-24,17834
846,2022-04-25,17836
847,2022-04-26,17824
848,2022-04-27,17814
849,2022-04-28,17917
850,2022-04-29,17871
851,2022-04-30,17845
852,2022-05-01,17986
853,2022-05-02,18077
854,2022-05-03,18273
855,2022-05-04,18421
856,2022-05-05,18473
857,2022-05-06,18472
858,2022-05-07,18525
859,2022-05-08,18499
860,2022-05-09,18697
861,2022-05-10,18655
862,2022-05-11,18609
863,2022-05-12,18612
864,2022-05-13,18718
865,2022-05-14,18716
866,2022-05-15,18818
867,2022-05-16,18885
868,2022-05-17,18858
869,2022-05-18,18862
870,2022-05-19,19016
871,2022-05-20,19012
872,2022-05-21,18982
873,2022-05-22,18981
874,2022-05-23,19168
875,2022-05-24,19119
876,2022-05-25,19087
877,2022-05-26,19060
878,2022-05-27,19115
879,2022-05-28,19270
880,2022-05-29,19451
881,2022-05-30,19405
882,2022-05-31,19357
883,2022-06-01,19490
884,2022-06-02,19545
885,2022-06-03,19662
886,2022-06-04,19637
887,2022-06-05,19772
888,2022-06-06,19826
889,2022-06-07,19978
890,2022-06-08,20079
891,2022-06-09,20192
892,2022-06-10,20300
893,2022-06-11,20300
894,2022-06-12,20297
895,2022-06-13,20292
896,2022-06-14,20366
897,2022-06-15,20431
898,2022-06-16,20594
899,2022-06-17,20560
900,2022-06-18,20613
901,2022-06-19,20797
902,2022-06-20,20793
903,2022-06-21,20748
904,2022-06-22,20884
905,2022-06-23,21070
906,2022-06-24,21269
907,2022-06-25,21332
908,2022-06-26,21393
909,2022-06-27,21565
910,2022-06-28,21533
911,2022-06-29,21609
912,2022-06-30,21790
913,2022-07-01,21747
914,2022-07-02,21944
915,2022-07-03,22015
916,2022-07-04,22015
917,2022-07-05,22016
918,2022-07-06,22012
919,2022-07-07,22014
920,2022-07-08,21976
921,2022-07-09,21979
922,2022-07-10,21946
923,2022-07-11,21936
924,2022-07-12,21918
925,2022-07-13,21915
926,2022-07-14,22048
927,2022-07-15,22034
928,2022-07-16,22197
929,2022-07-17,22186
930,2022-07-18,22181
931,2022-07-19,22185
932,2022-07-20,22181
933,2022-07-21,22185
934,2022-07-22,22258
935,2022-07-23,22420
936,2022-07-24,22496
937,2022-07-25,22614
938,2022-07-26,22594
939,2022-07-27,22788
940,2022-07-28,22988
941,2022-07-29,23186
942,2022-07-30,23308
943,2022-07-31,23461
944,2022-08-01,23562
945,2022-08-02,23560
946,2022-08-03,23722
947,2022-08-04,23677
948,2022-08-05,23787
949,2022-08-06,23933
950,2022-08-07,23912
951,2022-08-08,23872
952,2022-08-09,23990
953,2022-08-10,24123
954,2022-08-11,24240
955,2022-08-12,24341
956,2022-08-13,24398
957,2022-08-14,24494
958,2022-08-15,24499
959,2022-08-16,24462
960,2022-08-17,24435
961,2022-08-18,24601
962,2022-08-19,24698
963,2022-08-20,24877
964,2022-08-21,25014
965,2022-08-22,25013
966,2022-08-23,24966
967,2022-08-24,25045
968,2022-08-25,25212
969,2022-08-26,25209
970,2022-08-27,25165
971,2022-08-28,25297
972,2022-08-29,25293
973,2022-08-30,25247
974,2022-08-31,25442
975,2022-09-01,25527
976,2022-09-02,25532
977,2022-09-03,25531
978,2022-09-04,25721
979,2022-09-05,25875
980,2022-09-06,26050
981,2022-09-07,26240
982,2022-09-08,26342
983,2022-09-09,26475
984,2022-09-10,26667
985,2022-09-11,26767
986,2022-09-12,26939
987,2022-09-13,27034
988,2022-09-14,27144
989,2022-09-15,27303
990,2022-09-16,27363
991,2022-09-17,27363
992,2022-09-18,27364
993,2022-09-19,27368
994,2022-09-20,27320
995,2022-09-21,27293
996,2022-09-22,27476
997,2022-09-23,27609
998,2022-09-24,27597
999,2022-09-25,27580
1000,2022-09-26,27716
1001,2022-09-27,27709
1002,2022-09-28,27777
1003,2022-09-29,27786
1004,2022-09-30,27882
1005,2022-10-01,27859
1006,2022-10-02,27882
1007,2022-10-03,27822
1008,2022-10-04,27821
1009,2022-10-05,27812
1010,2022-10-06,27782
1011,2022-10-07,27804
1012,2022-10-08,27726
1013,2022-10-09,27789
1014,2022-10-10,27834
1015,2022-10-11,27788
1016,2022-10-12,27824
1017,2022-10-13,27759
1018,2022-10-14,27821
1019,2022-10-15,27742
1020,2022-10-16,27732
1021,2022-10-17,27678
1022,2022-10-18,27611
1023,2022-10-19,27698
1024,2022-10-20,27634
1025,2022-10-21,27688
1026,2022-10-22,27652
1027,2022-10-23,27633
1028,2022-10-24,27624
1029,2022-10-25,27571
1030,2022-10-26,27622
1031,2022-10-27,28108
1032,2022-10-28,28162
1033,2022-10-29,28135
1034,2022-10-30,28197
1035,2022-10-31,28292
1036,2022-11-01,28298
1037,2022-11-02,28256
1038,2022-11-03,28234
1039,2022-11-04,28156
1040,2022-11-05,28130
1041,2022-11-06,28183
1042,2022-11-07,28280
1043,2022-11-08,28217
1044,2022-11-09,28291
1045,2022-11-10,28313
1046,2022-11-11,28317
1047,2022-11-12,28308
1048,2022-11-13,28349
1049,2022-11-14,28358
1050,2022-11-15,28305
1051,2022-11-16,28375
1052,2022-11-17,28413
1053,2022-11-18,28362
1054,2022-11-19,28307
1055,2022-11-20,28307
1056,2022-11-21,28306
1057,2022-11-22,28245
1058,2022-11-23,28184
1059,2022-11-24,28389
1060,2022-11-25,28432
1061,2022-11-26,28417
1062,2022-11-27,28502
1063,2022-11-28,28510
1064,2022-11-29,28562
1065,2022-11-30,28491
1066,2022-12-01,28517
1067,2022-12-02,28604
1068,2022-12-03,28561
1069,2022-12-04,28640
1070,2022-12-05,28703
1071,2022-12-06,28684
1072,2022-12-07,28761
1073,2022-12-08,28801
1074,2022-12-09,29104
1075,2022-12-10,29073
1076,2022-12-11,29131
1077,2022-12-12,29123
1078,2022-12-13,29153
1079,2022-12-14,29235
1080,2022-12-15,29227
1081,2022-12-16,29209
1082,2022-12-17,29257
1083,2022-12-18,29240
1084,2022-12-19,29170
1085,2022-12-20,29252
1086,2022-12-21,29293
1087,2022-12-22,29287
1088,2022-12-23,29385
1089,2022-12-24,29452
1090,2022-12-25,29432
1091,2022-12-26,29526
1092,2022-12-27,29521
1093,2022-12-28,29596
1094,2022-12-29,30009
1095,2022-12-30,30018
1096,2022-12-31,29990
1097,2023-01-01,29919
1098,2023-01-02,29909
1099,2023-01-03,29881
1100,2023-01-04,29871
1101,2023-01-05,29847
1102,2023-01-06,29936
1103,2023-01-07,29899
1104,2023-01-08,29899
1105,2023-01-09,29846
1106,2023-01-10,29912
1107,2023-01-11,29876
1108,2023-01-12,29834
1109,2023-01-13,29886
1110,2023-01-14,29881
1111,2023-01-15,29811
1112,2023-01-16,29842
1113,2023-01-17,29800
1114,2023-01-18,29744
1115,2023-01-19,29676
1116,2023-01-20,29757
1117,2023-01-21,29749
1118,2023-01-22,29819
1119,2023-01-23,29765
1120,2023-01-24,29827
1121,2023-01-25,29916
1122,2023-01-26,29885
1123,2023-01-27,29835
1124,2023-01-28,29905
1125,2023-01-29,29970
1126,2023-01-30,29991
1127,2023-01-31,30022
1128,2023-02-01,29991
1129,2023-02-02,30016
1130,2023-02-03,30190
1131,2023-02-04,30230
1132,2023-02-05,30234
1133,2023-02-06,30227
1134,2023-02-07,30168
1135,2023-02-08,30227
1136,2023-02-09,30199
1137,2023-02-10,30144
1138,2023-02-11,30105
1139,2023-02-12,30064
1140,2023-02-13,30028
1141,2023-02-14,30037
1142,2023-02-15,30111
1143,2023-02-16,30111
1144,2023-02-17,30205
1145,2023-02-18,30173
1146,2023-02-19,30207
1147,2023-02-20,30209
1148,2023-02-21,30193
1149,2023-02-22,30202
1150,2023-02-23,30285
1151,2023-02-24,30471
1152,2023-02-25,30422
1153,2023-02-26,30510
1154,2023-02-27,30551
1155,2023-02-28,30521
1156,2023-03-01,30487
1157,2023-03-02,30449
